gvkey,number_analyst_following,ibes_year
103292,24,2020
103297,4,2020
103303,1,2020
103305,6,2020
103310,1,2020
103314,1,2020
103325,11,2020
103337,1,2020
103340,1,2020
103342,20,2020
103345,3,2020
103360,4,2020
103366,1,2020
103372,1,2020
103384,5,2020
103391,1,2020
103396,7,2020
103409,18,2020
103413,4,2020
103440,13,2020
103478,9,2020
103487,34,2020
103517,1,2020
103533,10,2020
103538,3,2020
103599,14,2020
103600,4,2020
103618,12,2020
103637,2,2020
103700,12,2020
103745,2,2020
103756,16,2020
103835,2,2020
103850,20,2020
103856,1,2020
103890,24,2020
103895,24,2020
103912,19,2020
103932,1,2020
103936,24,2020
103949,1,2020
103950,1,2020
103951,17,2020
103960,9,2020
103971,4,2020
104012,9,2020
104027,8,2020
104057,21,2020
104086,1,2020
104089,1,2020
104092,11,2020
104106,5,2020
104125,24,2020
104129,24,2020
104143,3,2020
104364,7,2020
104474,4,2020
104544,6,2020
104558,23,2020
104566,4,2020
104582,38,2020
104583,32,2020
104584,33,2020
104587,32,2020
104588,13,2020
104593,32,2020
104598,35,2020
104599,1,2020
104600,12,2020
104602,32,2020
104604,47,2020
104605,3,2020
104606,30,2020
104607,30,2020
104608,15,2020
104611,7,2020
104613,12,2020
104615,22,2020
104618,5,2020
104623,15,2020
104626,6,2020
104627,25,2020
104632,8,2020
104643,23,2020
104683,11,2020
104718,6,2020
104753,3,2020
104755,2,2020
104759,1,2020
104761,22,2020
104779,12,2020
104795,11,2020
104796,4,2020
104814,21,2020
104822,2,2020
104831,10,2020
104833,25,2020
104854,17,2020
104855,2,2020
104856,1,2020
104857,1,2020
104858,8,2020
104860,2,2020
104864,11,2020
104865,3,2020
104871,1,2020
104872,1,2020
104873,2,2020
104880,1,2020
104881,13,2020
104887,2,2020
104889,1,2020
104890,1,2020
104891,6,2020
104892,3,2020
104893,4,2020
104894,1,2020
104898,13,2020
104907,12,2020
104913,15,2020
104923,5,2020
104940,2,2020
104950,15,2020
104961,4,2020
104967,9,2020
104970,2,2020
104981,24,2020
104994,11,2020
104997,17,2020
105036,24,2020
105082,4,2020
105089,3,2020
105104,16,2020
105105,2,2020
105111,5,2020
105117,11,2020
105118,6,2020
105130,3,2020
105145,1,2020
105148,10,2020
105150,2,2020
105153,1,2020
105163,1,2020
105189,1,2020
105198,6,2020
105544,3,2020
105649,8,2020
106276,2,2020
106438,5,2020
106747,3,2020
106755,26,2020
106815,9,2020
107037,6,2020
107114,23,2020
107115,1,2020
107225,25,2020
108147,1,2020
108411,5,2020
108564,2,2020
108893,24,2020
109299,11,2020
111320,12,2020
111880,3,2020
111941,13,2020
112116,11,2020
112296,7,2020
114657,1,2020
114927,28,2020
116961,10,2020
117116,3,2020
119754,7,2020
120293,2,2020
120860,1,2020
122337,3,2020
122537,11,2020
124617,12,2020
125074,3,2020
125378,1,2020
125863,4,2020
127694,1,2020
132740,29,2020
133104,35,2020
133564,1,2020
133870,30,2020
133889,1,2020
133905,2,2020
134044,7,2020
134267,5,2020
135709,3,2020
136185,1,2020
137066,22,2020
137433,9,2020
137612,14,2020
137802,37,2020
137944,2,2020
138744,1,2020
138781,2,2020
139461,6,2020
140045,17,2020
140722,10,2020
140756,27,2020
140797,1,2020
141076,8,2020
141239,18,2020
141459,6,2020
142248,12,2020
142540,26,2020
143357,16,2020
144009,11,2020
144435,5,2020
144496,29,2020
144535,56,2020
146202,7,2020
146352,17,2020
147244,14,2020
150937,17,2020
151315,2,2020
151933,17,2020
152649,13,2020
153130,7,2020
153311,15,2020
154941,7,2020
154942,1,2020
155314,13,2020
155356,1,2020
155511,1,2020
157304,21,2020
157441,29,2020
157674,2,2020
158741,31,2020
160381,13,2020
160628,10,2020
160709,41,2020
160739,31,2020
162094,6,2020
162559,5,2020
163060,5,2020
163677,11,2020
163896,15,2020
165678,13,2020
165972,1,2020
166035,10,2020
166385,21,2020
170614,2,2020
174396,11,2020
175657,7,2020
176021,2,2020
176092,3,2020
176152,15,2020
176537,2,2020
176652,1,2020
176660,22,2020
177012,3,2020
177091,9,2020
177236,10,2020
177267,7,2020
177345,3,2020
177983,6,2020
178098,3,2020
178329,2,2020
179107,6,2020
179798,6,2020
179846,2,2020
179849,4,2020
182898,10,2020
186717,4,2020
200019,11,2020
200025,8,2020
200034,4,2020
200048,1,2020
200055,4,2020
200065,9,2020
200075,3,2020
200077,1,2020
200078,1,2020
200079,4,2020
200080,1,2020
200082,1,2020
200084,2,2020
200090,2,2020
200096,4,2020
200098,1,2020
200107,1,2020
200126,4,2020
200138,2,2020
200144,1,2020
200157,4,2020
200159,16,2020
200171,3,2020
200186,6,2020
200189,22,2020
200192,1,2020
200199,1,2020
200207,4,2020
200215,1,2020
200218,11,2020
200227,2,2020
200242,1,2020
200243,2,2020
200244,1,2020
200245,1,2020
200248,1,2020
200250,3,2020
200258,5,2020
200262,1,2020
200263,43,2020
200264,18,2020
200265,1,2020
200276,3,2020
200278,1,2020
200283,38,2020
200284,15,2020
200285,1,2020
200295,24,2020
200324,8,2020
200325,1,2020
200333,2,2020
200342,1,2020
200348,1,2020
200359,1,2020
200363,20,2020
200364,11,2020
200365,16,2020
200370,3,2020
200384,19,2020
200397,12,2020
200399,6,2020
200415,3,2020
200416,1,2020
200417,1,2020
200421,6,2020
200435,24,2020
200447,14,2020
200448,45,2020
200455,5,2020
200459,1,2020
200462,3,2020
200467,14,2020
200468,13,2020
200470,1,2020
200476,1,2020
200485,4,2020
200495,6,2020
200512,13,2020
200531,2,2020
200560,1,2020
200561,10,2020
200565,3,2020
200572,3,2020
200573,1,2020
200574,5,2020
200575,16,2020
200576,5,2020
200577,1,2020
200585,1,2020
200595,15,2020
200599,4,2020
200606,12,2020
200614,2,2020
200625,10,2020
200646,2,2020
200647,8,2020
200666,1,2020
200692,1,2020
200695,14,2020
200708,14,2020
200711,14,2020
200731,5,2020
200732,1,2020
200741,30,2020
200752,11,2020
200759,1,2020
200762,14,2020
200769,9,2020
200772,17,2020
200773,9,2020
200774,19,2020
200779,12,2020
200789,3,2020
200795,2,2020
200827,40,2020
200860,1,2020
200863,1,2020
200865,19,2020
200866,1,2020
200883,16,2020
200896,3,2020
200903,3,2020
200908,6,2020
200909,1,2020
200910,39,2020
200919,1,2020
200928,1,2020
200929,3,2020
200932,23,2020
200935,14,2020
200939,11,2020
200970,2,2020
200976,10,2020
200986,4,2020
201011,1,2020
201012,13,2020
201015,13,2020
201022,4,2020
201023,7,2020
201028,5,2020
201045,4,2020
201056,1,2020
201060,10,2020
201064,1,2020
201066,17,2020
201080,16,2020
201093,1,2020
201094,9,2020
201095,2,2020
201099,16,2020
201101,11,2020
201102,3,2020
201111,17,2020
201114,1,2020
201118,15,2020
201120,3,2020
201122,5,2020
201131,1,2020
201132,1,2020
201140,13,2020
201143,14,2020
201147,3,2020
201153,1,2020
201163,9,2020
